nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
186.0,7.0,0.0,0.0,3.0,0.0,17.0,179.0,44.0,12.4889,20.0,21.0,123.0,384.0,115.0,89.0,17.0,2.0,28.0,58.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
20.0,3.0,0.0,0.0,0.0,0.0,2.0,17.0,9.0,10.5556,2.0,1.0,9.0,55.0,60.0,47.0,9.0,1.0,6.0,57.0,0.0,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
7.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,28.6667,1.0,1.0,1.0,55.0,57.0,44.0,9.0,1.0,2.0,61.0,0.0,0,0.7719298245614035,0.0,3.5,0.0,0
20.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3.3333333333333335,0.0,0
18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,1.0,0.0,34.0,45.0,1.0,0.0,0.0,1.0,62.0,0.0,0,0.022222222222222223,0.0,18.0,0.0,0
7.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,20.6,0.0,1.0,0.0,68.0,60.0,49.0,7.0,1.0,2.0,61.0,0.0,0,0.8166666666666667,0.0,1.75,0.0,0
353.0,353.0,0.0,1.0,0.0,0.0,0.0,321.0,2.0,0.1708,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1,0.0,0.0,1.0996884735202492,0.0,0
23.0,8.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,5.9375,1.0,2.0,1.0,44.0,59.0,50.0,5.0,1.0,3.0,60.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
11.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,62.0,0.0,0,1.0,0.0,11.0,0.0,0
305.0,305.0,0.0,0.0,0.0,0.0,1.0,273.0,4.0,0.4051,0.0,1.0,0.0,86.0,37.0,14.0,10.0,0.0,2.0,43.0,0.0,1,0.3783783783783784,0.0,1.1172161172161172,0.0,0
42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,42.0,0.0,1
35.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,48.0,0.0,1.0,0.0,35.0,61.0,52.0,5.0,1.0,1.0,62.0,0.0,1,0.8524590163934426,0.0,35.0,0.0,0
382.0,311.0,0.0,10.0,1.0,3.0,16.0,71.0,32.0,15.625,7.0,15.0,28.0,470.0,145.0,112.0,9.0,0.0,0.0,0.0,0.0,1,0.7724137931034483,0.03125,5.380281690140845,0.0,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
