nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
15.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,34.0,1.0,3.0,1.0,70.0,58.0,51.0,4.0,1.0,1.0,62.0,0.0,0,0.8793103448275862,0.0,7.5,0.0,0
14.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.75,0.0,0
188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,188.0,0.0,0
12.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.25,0.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.7142857142857142,0.0,0
58.0,18.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.45,0.0,0
305.0,305.0,0.0,0.0,0.0,0.0,1.0,273.0,4.0,0.4051,0.0,1.0,0.0,86.0,37.0,14.0,10.0,0.0,2.0,43.0,0.0,1,0.3783783783783784,0.0,1.1172161172161172,0.0,0
24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,24.0,0.0,0
27.0,13.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,7.4667,0.0,3.0,0.0,60.0,59.0,45.0,11.0,1.0,2.0,61.0,0.0,0,0.7627118644067796,0.0,1.9285714285714286,0.0,0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44.0,0.0,1
12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,9.0769,1.0,2.0,11.0,49.0,58.0,40.0,16.0,0.0,2.0,61.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
