nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,abandono
47,47,0,0,0,0,0,0.0,0.0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
143,143,0,0,0,0,0,0.0,0.0,0.0,1,16.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1
23,8,0,0,0,0,2,798.5,798.5,15.0,2,5.9375,2,1,2,1,44,59,50,5,1,0.964285714,3,60,0.958333333,0,0
14,14,0,0,0,0,0,0.0,0.0,0.0,1,4.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
24,24,0,0,0,0,0,0.0,0.0,0.0,1,6.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
336,272,0,14,0,0,2,1880.5,0.0,64.0,9,4.6769,9,0,3,0,175,82,82,0,0,1.0,8,46,1.0,0,0
42,13,0,0,0,0,2,914.0,914.0,29.0,6,5.7,6,3,3,9,62,59,53,2,1,0.944545467,7,56,0.940584429,0,0
12,12,0,0,0,0,0,0.0,0.0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
186,7,0,0,3,0,17,15294.0588,170.0,179.0,44,12.4889,44,20,21,123,384,115,89,17,2,0.919434207,28,58,0.922023821,0,0
56,6,0,0,0,0,4,1835.25,1835.25,50.0,26,21.4706,26,6,10,28,179,62,51,8,1,0.991836735,21,42,0.99047619,47,0
7,5,0,0,0,0,2,2173.0,2173.0,2.0,2,28.6667,2,1,1,1,55,57,44,9,1,1.0,2,61,1.0,0,0
20,14,0,0,0,0,3,1463.6667,1463.6667,6.0,5,38.8571,5,4,4,19,112,60,53,6,0,1.0,11,52,1.0,0,0
381,269,5,14,3,2,26,40820.1923,131692.375,283.0,55,7.2289,55,8,32,25,951,345,276,8,0,0.532771454,34,125,0.588759814,0,0
390,0,0,35,9,0,1,20.0,20.0,390.0,181,47.8875,181,16,61,73,1660,6,1,0,0,1.0,1,263,1.0,0,0
12,11,0,0,0,0,0,0.0,0.0,1.0,2,5.5,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
41,16,0,0,0,0,2,432769.5,432769.5,25.0,8,9.8846,8,3,5,10,123,60,46,10,1,1.0,11,52,1.0,0,0
21,10,0,0,0,0,0,0.0,0.0,11.0,4,2.6667,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
20,3,0,0,0,0,2,2713.5,2713.5,17.0,9,10.5556,9,2,1,9,55,60,47,9,1,1.0,6,57,1.0,0,0
7,7,0,0,0,0,2,506.0,506.0,0.0,1,101.0,1,0,1,0,76,51,2,0,0,1.0,1,62,1.0,0,0
312,0,1,48,39,0,7,111.8571,93.2,312.0,181,110.885,181,58,88,619,1944,18,13,1,1,0.776923077,4,716,0.6375,7,0
9,6,0,0,0,0,1,814.0,814.0,3.0,2,16.5,2,1,1,1,48,36,1,0,0,1.0,1,62,1.0,0,0
14,6,0,0,0,0,0,0.0,0.0,8.0,3,1.2222,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
10,10,0,0,0,0,0,0.0,0.0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
18,3,0,0,0,0,2,46002.5,46002.5,15.0,7,14.375,7,2,4,32,64,59,48,8,1,0.969230769,6,57,0.966666667,0,0
18,18,0,0,0,0,0,0.0,0.0,0.0,1,9.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
21,21,0,0,0,0,0,0.0,0.0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
125,27,0,0,0,1,1,35.0,35.0,98.0,3,0.5354,3,0,2,0,24,4,1,0,0,1.0,1,62,1.0,0,0
5,5,0,0,0,0,1,765.0,765.0,2.0,2,25.3333,2,0,1,0,48,19,1,0,0,1.0,1,62,1.0,0,0
11,11,0,0,0,0,1,132.0,132.0,0.0,1,19.0,1,0,1,0,9,0,1,0,0,1.0,1,62,1.0,0,0
383,21,11,27,2,0,27,134816.2593,363847.7,362.0,55,5.719,55,12,37,31,837,342,290,21,9,0.37464126,50,141,0.429848393,0,0
12,12,0,0,0,0,0,0.0,0.0,0.0,1,3.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
12,5,0,0,0,0,0,0.0,0.0,7.0,2,3.25,2,0,1,0,14,0,1,0,0,0.0,0,0,0.0,0,0
6,0,0,0,0,0,0,0.0,0.0,6.0,2,0.8571,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
220,12,0,12,0,0,0,0.0,0.0,208.0,3,0.1866,3,0,0,0,0,0,0,0,0,0.0,0,90,0.0,0,0
12,1,0,0,0,0,2,1454.5,1454.5,11.0,2,5.3333,2,0,1,0,48,59,39,18,0,1.0,1,62,1.0,0,0
4,0,0,0,0,0,4,869.5,869.5,4.0,4,70.6,4,3,2,18,115,64,55,5,1,0.991754286,21,42,0.99038,6,0
305,305,0,0,0,0,1,2629.0,2629.0,273.0,4,0.4051,4,0,1,0,86,37,14,10,0,0.7674375,2,43,0.689916667,0,1
33,33,0,0,0,0,0,0.0,0.0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0
