nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
328,328,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,16.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,328.0,0.0,0
27,13,0,0,0,0,2,225979.5,225979.5,80.855913872,14.0,6,7.4667,15.99444,37.661860000000004,0,3,0,60,59,45,11,1,1.0,0.3333,0.3333,2,61,1.0,0,6.7143,13.73336,0,0.7627118644067796,0.0,1.9285714285714286,0.0,0
7,7,0,0,0,0,2,682.5,682.5,42.683657519200004,0.0,1,111.0,32.60928,117.34479999999999,0,1,0,52,20,19,1,0,0.985915493,1.5358000000000003,0.40590000000000004,8,15,0.9875,0,6.7143,10.26668,0,0.95,0.0,7.0,0.0,0
305,305,0,0,0,0,1,2629.0,2629.0,90.468468468,273.0,4,0.4051,52.86766,38.98888,0,1,0,86,37,14,10,0,0.7674375,0.4615,0.1538,2,43,0.689916667,0,6.7143,13.73336,1,0.3783783783783784,0.0,1.1172161172161172,0.0,0
47,47,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,5.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,47.0,0.0,1
20,3,0,0,0,0,2,2713.5,2713.5,90.468468468,17.0,9,10.5556,52.86766,38.98888,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,6.7143,13.73336,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
21,10,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,11.0,4,2.6667,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,1.9090909090909092,0.0,0
6,6,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,31.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,6.0,0.0,0
12,1,0,0,0,0,2,1454.5,1454.5,90.468468468,11.0,2,5.3333,52.86766,38.98888,0,1,0,48,59,39,18,0,1.0,1.7816800000000002,0.7283200000000001,1,62,1.0,0,6.7143,13.73336,0,0.6610169491525424,0.0,1.0909090909090908,0.0,0
6,6,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,31.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,6.0,0.0,0
26,26,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,7.0,3,1.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,3.7142857142857144,0.0,0
19,18,0,0,0,0,1,49.0,49.0,42.683657519200004,1.0,2,28.0,30.302099999999996,99.68402,0,2,0,31,39,1,0,0,1.0,1.2784,0.2981,1,62,1.0,0,6.7143,10.26668,0,0.02564102564102564,0.0,19.0,0.0,0
15,15,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,13.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,15.0,0.0,0
12,0,0,0,0,0,2,131278.5,131278.5,80.80722892,12.0,3,9.0769,19.3662,37.3273,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,6.7143,13.73336,0,0.6896551724137931,0.0,1.0,0.0,0
6,6,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,31.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,6.0,0.0,0
12,12,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,3.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,12.0,0.0,0
6,6,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,31.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,6.0,0.0,0
332,266,0,1,0,0,4,64.0,55.0,42.683657519200004,66.0,13,6.3731,19.403,32.8462,3,4,13,67,18,4,0,0,0.0,1.2784,0.2981,1,2,0.0,0,6.7143,10.26668,0,0.2222222222222222,0.0,5.03030303030303,0.0,1
220,12,0,12,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,208.0,3,0.1866,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,90,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,1.0576923076923077,0.0,0
11,11,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,4.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,11.0,0.0,0
186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,6.7143,13.933359999999999,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,6.7143,13.933359999999999,0,0.847953216374269,0.03636363636363636,1.058011049723757,0.0,0
47,47,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,5.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,47.0,0.0,1
58,18,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,40.0,3,0.6341,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,1.45,0.0,0
23,8,0,0,0,0,2,798.5,798.5,42.683657519200004,15.0,2,5.9375,32.60928,117.34479999999999,1,2,1,44,59,50,5,1,0.964285714,1.5358000000000003,0.40590000000000004,3,60,0.958333333,0,6.7143,10.26668,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
47,47,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,10.0,29.834703448275864,56.718513793103455,0,1,0,3,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,47.0,0.0,1
10,10,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,6.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,10.0,0.0,0
