nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
15,1,0,0,0,0,2,902.0,902.0,0.0,18.0,6,15.3158,0.0,0.0,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,0.0,0.0,0,0.7833333333333333,0.0,0.8333333333333334,0.0,0
12,0,0,0,0,0,2,131278.5,131278.5,0.0,12.0,3,9.0769,0.0,0.0,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,0.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
7,7,0,0,0,0,2,682.5,682.5,0.0,0.0,1,111.0,0.0,0.0,0,1,0,52,20,19,1,0,0.985915493,0.0,0.0,8,15,0.9875,0,0.0,0.0,0,0.95,0.0,7.0,0.0,0
47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
42,42,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,42.0,0.0,1
6,6,0,0,0,0,0,0.0,0.0,0.0,0.0,1,31.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
15,15,0,0,0,0,0,0.0,0.0,0.0,0.0,1,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,15.0,0.0,0
27,11,0,0,0,0,0,0.0,0.0,0.0,27.0,3,2.3571,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,6,0.0,6.0,0,0.0,0.0,1.0,2.0,0
18,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,18.0,0.0,0
328,328,0,0,0,0,0,0.0,0.0,0.0,0.0,1,16.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,328.0,0.0,0
13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,13.0,0.0,0
255,20,0,0,0,0,5,20472.2,25557.75,87.81987578,235.0,4,0.9873,0.0,0.0,0,3,0,175,109,94,8,5,0.90426087,0.0128,0.0085,3,63,0.919388889,0,0.0,0.0,0,0.8623853211009175,0.0,1.0851063829787233,0.0,0
6,2,0,0,0,0,2,14695.0,14695.0,0.0,4.0,4,31.0,0.0,0.0,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,0.0,0.0,0,0.5769230769230769,0.0,1.5,0.0,0
41,17,0,0,0,0,0,0.0,0.0,0.0,24.0,2,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,1.7083333333333333,0.0,0
381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,0.0,0.0,0,0.8,0.05454545454545454,1.3462897526501767,0.0,1
15,1,0,0,0,0,2,902.0,902.0,0.0,18.0,6,15.3158,0.0,0.0,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,0.0,0.0,0,0.7833333333333333,0.0,0.8333333333333334,0.0,0
24,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,24.0,0.0,0
47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10.0,0.0,0.0,0,1,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
312,0,1,48,39,0,7,111.8571,93.2,6.203995793,312.0,181,110.885,57.8275,191.7514,58,88,619,1944,18,13,1,1,0.776923077,0.0267,0.0267,4,716,0.6375,7,0.0,7.0,0,0.7222222222222222,0.2154696132596685,1.0,0.03867403314917127,0
12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
20,3,0,0,0,0,2,2713.5,2713.5,0.0,17.0,9,10.5556,0.0,0.0,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,0.0,0.0,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
48,1,0,0,0,0,2,2518.0,2518.0,0.0,47.0,29,16.0,60.4167,26.4828,6,7,26,112,58,52,2,1,0.98989897,0.3721,0.2558,16,47,0.989583313,0,0.0,0.0,0,0.896551724137931,0.0,1.0212765957446808,0.0,0
56,6,0,0,0,0,4,1835.25,1835.25,89.72972973,50.0,26,21.4706,50.9804,42.1154,6,10,28,179,62,51,8,1,0.991836735,0.525,0.325,21,42,0.99047619,47,6.7143,15.6667,0,0.8225806451612904,0.0,1.12,1.8076923076923077,0
360,265,0,1,3,0,6,72.0,0.0,0.0,342.0,48,11.9213,13.9942,85.1875,9,16,27,150,18,6,0,0,0.0,0.0,0.0,1,48,0.0,0,0.0,0.0,0,0.3333333333333333,0.0625,1.0526315789473684,0.0,1
40,13,0,0,0,0,2,584.5,584.5,0.0,27.0,4,3.0357,0.0,0.0,0,1,0,32,58,51,3,1,1.0,0.16,0.08,4,59,1.0,0,0.0,0.0,0,0.8793103448275862,0.0,1.4814814814814814,0.0,0
186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,0.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
