nr_dias_desde_primeiro_acesso, nr_dias_desde_ultimo_acesso, nr_atividades_sinalizadas, nr_atividades_mapeadas, nr_discussoes_forum_postadas, nr_questionarios_abandonados, nr_questionarios_finalizados, vl_medio_tempo_questionario, vl_medio_tempo_questionario_avaliado, vl_desempenho_questionario, nr_intervalos_uso, nr_dias_uso, vl_medio_atividade_diaria, vl_engajamento_usuario_por_intervalo, vl_engajamento_usuario_intradia, nr_dias_engajamento_discussao, nr_dias_engajamento_questionario, nr_engajamento_discussao, nr_engajamento_questionario, nr_questoes_respondidas, nr_questoes_corretas, nr_questoes_erradas, nr_questoes_parciais, vl_desempenho_usuario, vl_media_questoes_por_dia, vl_engajamento_notas, nr_itens_avaliados, nr_itens_nao_respondidos, vl_media_notas, nr_submissoes_codigo, vl_media_submissoes_codigo, vl_submissoes_por_dias_ativos, nr_abandono, vl_taxa_acerto_questoes, vl_forum_por_dia   , vl_dias_entre_acessos, vl_submissoes_por_dia, nr_periodo_ferias
                           47,                          47,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                   10.0   ,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                           3,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,   47.0               ,                   0.0,                 1
                            5,                           5,                         0,                      0,                            0,                            0,                            1,                    765.0   ,                             765.0   ,                 0.0       ,               2.0,           2,                   25.3333,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          48,                      19,                    1,                   0,                    0,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.05263157894736842 , 0.0                ,    2.5               ,                   0.0,                 0
                           15,                           1,                         0,                      0,                            0,                            0,                            2,                    902.0   ,                             902.0   ,                 0.0       ,              18.0,           6,                   15.3158,                               0.0   ,                          0.0   ,                             4,                                2,                       22,                          43,                      60,                   47,                   9,                    1,           0.984006741,                    0.9286,               0.3571,                 13,                       50,    0.983391615,                    0,                        0.0,                           0.0,           0,    0.7833333333333333  , 0.0                ,    0.8333333333333334,                   0.0,                 0
                          381,                         311,                         0,                     14,                            0,                            0,                            7,                    162.8571,                               0.0   ,                 0.0       ,             300.0,          16,                    1.2027,                               5.3156,                         22.625 ,                             0,                                9,                        0,                         152,                      49,                   35,                   0,                    0,           0.636363636,                    0.1964,               0.1607,                 11,                      148,    0.636363636,                    0,                        0.0,                           0.0,           1,    0.7142857142857143  , 0.0                ,    1.27              ,                   0.0,                 0
                           16,                          15,                         0,                      0,                            0,                            0,                            2,                   2054.0   ,                            2054.0   ,                 0.0       ,               1.0,           2,                   34.5   ,                               0.0   ,                          0.0   ,                             1,                                2,                        1,                          49,                      56,                   44,                   9,                    1,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.7857142857142857  , 0.0                ,   16.0               ,                   0.0,                 0
                          383,                          21,                        11,                     27,                            2,                            0,                           27,                 134816.2593,                          363847.7   ,                80.86808511,             362.0,          55,                    5.719 ,                              15.1515,                         37.7455,                            12,                               37,                       31,                         837,                     342,                  290,                  21,                    9,           0.37464126 ,                    0.2092,               0.1172,                 50,                      141,    0.429848393,                    0,                        0.0,                           0.0,           0,    0.847953216374269   , 0.03636363636363636,    1.058011049723757 ,                   0.0,                 0
                           12,                           1,                         0,                      0,                            0,                            0,                            2,                   1840.5   ,                            1840.5   ,                 0.0       ,              11.0,           4,                    9.1667,                               0.0   ,                          0.0   ,                             1,                                1,                        1,                          51,                      59,                   45,                  10,                    1,           0.928571429,                    0.75  ,               0.75  ,                  3,                       60,    0.916666667,                    0,                        0.0,                           0.0,           0,    0.7627118644067796  , 0.0                ,    1.0909090909090908,                   0.0,                 0
                           24,                          24,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                    6.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,   24.0               ,                   0.0,                 0
                          381,                         311,                         0,                     14,                            0,                            0,                            7,                    162.8571,                               0.0   ,                 0.0       ,             300.0,          16,                    1.2027,                               5.3156,                         22.625 ,                             0,                                9,                        0,                         152,                      49,                   35,                   0,                    0,           0.636363636,                    0.1964,               0.1607,                 11,                      148,    0.636363636,                    0,                        0.0,                           0.0,           1,    0.7142857142857143  , 0.0                ,    1.27              ,                   0.0,                 0
                            7,                           7,                         0,                      0,                            0,                            0,                            2,                    682.5   ,                             682.5   ,                 0.0       ,               0.0,           1,                  111.0   ,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          52,                      20,                   19,                   1,                    0,           0.985915493,                    0.0   ,               0.0   ,                  8,                       15,    0.9875     ,                    0,                        0.0,                           0.0,           0,    0.95                , 0.0                ,    7.0               ,                   0.0,                 0
