,ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
399,,1692749050,1693265685,20,14,0,0,0,0,3,1463.6667,1463.6667,,6.0,5,38.8571,,,5,4,4,19,112,60,53,6,0,1.0,3.6667,1.3333,11,52,1.0,0,,
400,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
401,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
402,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
403,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
404,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
405,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
407,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
411,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
412,,1692624817,1692624893,21,21,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
413,Campinas,1693436303,1694384873,12,1,0,0,0,0,2,1454.5,1454.5,,11.0,2,5.3333,,,2,0,1,0,48,59,39,18,0,1.0,,,1,62,1.0,0,,
416,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
417,,1693420750,1693464521,12,11,0,0,0,0,0,,,,1.0,2,5.5,,,2,0,0,0,0,0,0,0,0,,,,0,0,,0,,
418,Campinas,1694047451,1694051893,5,5,0,0,0,0,1,765.0,765.0,,2.0,2,25.3333,,,2,0,1,0,48,19,1,0,0,1.0,,,1,62,1.0,0,,
419,sao paulo,1660757582,1694455603,390,0,0,35,9,0,1,20.0,20.0,17.85714286,390.0,181,47.8875,46.2916,103.4475,181,16,61,73,1660,6,1,0,0,1.0,,,1,263,1.0,0,,
420,brasilia,1661376457,1692652968,383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,,
421,,1693420750,1693464521,12,11,0,0,0,0,0,,,,1.0,2,5.5,,,2,0,0,0,0,0,0,0,0,,,,0,0,,0,,
422,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
423,Campinas,1690859824,1693072277,41,16,0,0,0,0,2,432769.5,432769.5,,25.0,8,9.8846,,,8,3,5,10,123,60,46,10,1,1.0,0.6875,0.3125,11,52,1.0,0,,
424,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
425,,1692624634,1693574329,21,10,0,0,0,0,0,,,,11.0,4,2.6667,,,4,0,0,0,0,0,0,0,0,,,,0,0,,0,,
426,Campinas,1693678662,1693913136,9,6,0,0,0,0,1,814.0,814.0,,3.0,2,16.5,,,2,1,1,1,48,36,1,0,0,1.0,,,1,62,1.0,0,,
427,,1693420067,1694043401,12,5,0,0,0,0,0,,,,7.0,2,3.25,,,2,0,1,0,14,0,1,0,0,,,,0,0,,0,,
428,Campinas,1693678662,1693913136,9,6,0,0,0,0,1,814.0,814.0,,3.0,2,16.5,,,2,1,1,1,48,36,1,0,0,1.0,,,1,62,1.0,0,,
429,Campinas,0,0,19612,19612,0,0,0,0,0,,,,0.0,1,1.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
430,Campinas,1692714277,1694181750,20,3,0,0,0,0,2,2713.5,2713.5,,17.0,9,10.5556,,,9,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,,
432,Campinas,1693864920,1693877095,7,7,0,0,0,0,2,506.0,506.0,,0.0,1,101.0,,,1,0,1,0,76,51,2,0,0,1.0,,,1,62,1.0,0,,
433,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
434,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
435,brasilia,1661376457,1692652968,383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,,
436,Campinas,1667501243,1694451399,312,0,1,48,39,0,7,111.8571,93.2,6.203995793,312.0,181,110.885,57.8275,191.7514,181,58,88,619,1944,18,13,1,1,0.776923077,0.0267,0.0267,4,716,0.6375,7,,7.0
437,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
439,Campinas,1693678662,1693913136,9,6,0,0,0,0,1,814.0,814.0,,3.0,2,16.5,,,2,1,1,1,48,36,1,0,0,1.0,,,1,62,1.0,0,,
441,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
442,,1693270861,1693932684,14,6,0,0,0,0,0,,,,8.0,3,1.2222,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
443,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
444,,1693270861,1693932684,14,6,0,0,0,0,0,,,,8.0,3,1.2222,,,3,0,0,0,0,0,0,0,0,,,,0,0,,0,,
445,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
446,Campinas,1693602276,1693602276,10,10,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
447,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
448,Campinas,1692908638,1694209784,18,3,0,0,0,0,2,46002.5,46002.5,,15.0,7,14.375,,,7,2,4,32,64,59,48,8,1,0.969230769,0.6667,0.5556,6,57,0.966666667,0,,
449,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
452,Campinas,1693436303,1694384873,12,1,0,0,0,0,2,1454.5,1454.5,,11.0,2,5.3333,,,2,0,1,0,48,59,39,18,0,1.0,,,1,62,1.0,0,,
453,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
454,Campinas,1692907332,1692907332,18,18,0,0,0,0,0,,,,0.0,1,9.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
456,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
457,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
458,,1692624817,1692624893,21,21,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
459,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
460,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
462,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
463,Campinas,1683672345,1692130044,125,27,0,0,0,1,1,35.0,35.0,,98.0,3,0.5354,,,3,0,2,0,24,4,1,0,0,1.0,,,1,62,1.0,0,,
464,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
466,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
467,Campinas,1694047451,1694051893,5,5,0,0,0,0,1,765.0,765.0,,2.0,2,25.3333,,,2,0,1,0,48,19,1,0,0,1.0,,,1,62,1.0,0,,
468,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
469,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
470,Campinas,1693504613,1693505945,11,11,0,0,0,0,1,132.0,132.0,,0.0,1,19.0,,,1,0,1,0,9,0,1,0,0,1.0,,,1,62,1.0,0,,
471,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
473,brasilia,1661376457,1692652968,383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,,
474,,1693428635,1693428635,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
476,Campinas,0,0,19612,19612,0,0,0,0,0,,,,0.0,1,1.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
478,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
479,,1693420067,1694043401,12,5,0,0,0,0,0,,,,7.0,2,3.25,,,2,0,1,0,14,0,1,0,0,,,,0,0,,0,,
480,Campinas,1693917949,1694471124,6,0,0,0,0,0,0,,,,6.0,2,0.8571,,,2,0,0,0,0,0,0,0,0,,,,0,0,,0,,
481,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
482,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
484,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
486,Blumenau ,1675436449,1693433737,220,12,0,12,0,0,0,,,,208.0,3,0.1866,,,3,0,0,0,0,0,0,0,0,,,,0,90,,0,,
487,Campinas,1693436303,1694384873,12,1,0,0,0,0,2,1454.5,1454.5,,11.0,2,5.3333,,,2,0,1,0,48,59,39,18,0,1.0,,,1,62,1.0,0,,
488,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
489,Campinas,1694097360,1694466038,4,0,0,0,0,0,4,869.5,869.5,93.42342342,4.0,4,70.6,,,4,3,2,18,115,64,55,5,1,0.991754286,5.25,1.0,21,42,0.99038,6,,6.0
492,curitiba,1668077732,1668083176,305,305,0,0,0,0,1,2629.0,2629.0,,273.0,4,0.4051,,,4,0,1,0,86,37,14,10,0,0.7674375,,,2,43,0.689916667,0,,
493,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
496,Campinas,1691607939,1691608000,33,33,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
498,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
499,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
